objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,timezone,createdAt,asciiname,elevation
YTvvAf4nIq,81603,816,null,9,Monte Gordo,10,37.18192,4282,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Monte Gorde,Monte Gordo",-7.45225,P,2012-01-17,,PT,PPL,2265914,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monte Gordo,
fCfRdaGGnH,140802,1408,null,18,Montalvinho,68,39.48333,1275,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-8.3,P,2018-05-23,,PT,PPL,2266240,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Montalvinho,
8BNJEJxU95,110503,1105,null,14,Monte Estoril,1,38.70636,23375,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-9.40595,P,2018-02-06,,PT,PPL,2265927,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monte Estoril,
lyurMbZQrb,70603,706,null,8,Montemor-o-Novo,247,38.64812,12854,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Montemor-o-Novo,-8.21455,P,2014-04-06,,PT,PPLA2,2265888,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Montemor-o-Novo,
a7Mf9t34Wz,81002,810,null,9,Moncarapacho,68,37.0836,8545,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moncarapacho,-7.78763,P,2018-01-31,,PT,PPL,2266272,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moncarapacho,
pXIcR9qVWy,121102,1211,null,16,Monforte,285,39.05318,3329,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-7.43689,P,2018-08-25,,PT,PPL,2266259,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monforte,
pydJDbuYqm,20505,205,null,3,Mombeja,209,38.02405,981,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Mombeja,-8.03778,P,2018-03-15,,PT,PPL,2266275,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Mombeja,
kEzXAGlNM6,110803,1108,null,14,Moita dos Ferreiros,93,39.24825,1734,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-9.22355,P,2018-07-05,,PT,PPL,2266298,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moita dos Ferreiros,
kQTbAPCWBD,150603,1506,null,19,Moita,10,38.65078,17795,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moita,-8.99038,P,2014-04-06,,PT,PPLA2,2266319,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Moita,
uvDdnCv35n,140206,1402,null,18,Minde,204,39.51631,3293,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mind,Minde",-8.68799,P,2018-05-22,,PT,PPL,2266388,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Minde,
